"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"343","SAM-724","SAM-724_PZ2_MB1-TOM_GOLD_20_MB1_Burney",8.73006300091815,0.524404424085076,3.62725791749084,1.27200628929263,0,0.595818764390649,1.36271787248865,2.12414688757628,1.30996183150503,100,"Acid","SAM","MB1","Burney"
"344","SAM-726","SAM-726_PZ2_MB1-TOM_GOLD_23_MB1_Burney",8.72903201964571,0.534789678284837,3.61966849310817,1.21573023323433,0.228035085019828,0.627694193059009,1.38166566143912,2.18494851197917,1.25658266739598,100,"Acid","SAM","MB1","Burney"
"345","SAM-727","SAM-727_PZ2_MB1-TOM_GOLD_25_MB1_Burney",8.72525071273026,0.543139024560011,3.60582861489561,1.29189782877749,0.178885438199983,0.587367006223537,1.35351394525509,2.17048381703251,1.28569047597001,100,"Acid","SAM","MB1","Burney"
"346","SAM-728","SAM-728_PZ2_MB1-TOM_GOLD_26_MB1_Burney",8.71900223649472,0.534789678284837,3.59652610167089,1.26214103807776,0,0.612372435695794,1.3834738884417,2.22193609269034,1.28140547837131,100,"Acid","SAM","MB1","Burney"
"347","SAM-729","SAM-729_PZ2_MB1-TOM_GOLD_27_MB1_Burney",8.74705664781017,0.56302753041037,3.59430104470953,1.23490890352285,0.281069386451104,0.615629758864855,1.34759044223384,2.13798970998459,1.28257553383807,100,"Acid","SAM","MB1","Burney"
"348","SAM-730","SAM-730_PZ2_MB1-TOM_GOLD_29_MB1_Burney",8.71601973380051,0.530094331227943,3.61759588677342,1.24298028946561,0.184390889145858,0.584807660688538,1.30958008537088,2.23091909310938,1.3228756555323,100,"Acid","SAM","MB1","Burney"
"349","SAM-731","SAM-731_PZ2_MB1-TOM_GOLD_30_MB1_Burney",8.72123844416606,0.5,3.61441558208239,1.26885775404495,0.33166247903554,0.592452529743945,1.33454111963626,2.18174242292714,1.31984847615171,100,"Acid","SAM","MB1","Burney"
"350","SAM-732","SAM-732_PZ1_MB2-90_16_5_MB2_Burney",8.74116697014764,0.492950301754649,3.60860083688956,1.19833217431562,0.16431676725155,0.579655069847578,1.290736224021,2.23405460989654,1.27318498263214,100,"Acid","SAM","MB2","Burney"
"351","SAM-733","SAM-733_PZ1_MB2-90_16_9_MB2_Burney",8.83413832809969,0.481663783151692,3.50485377726375,1.00199800399003,0,0.502991053598372,1.23854753643128,2.14032707780844,1.31224997618594,100,"Acid","SAM","MB2","Burney"
"352","SAM-734","SAM-734_PZ1_MB2-90_16_11_MB2_Burney",8.71854345633489,0.53851648071345,3.64787609438698,1.18995798245148,0,0.601664358259653,1.28569047597001,2.24388056723169,1.30881625906771,100,"Acid","SAM","MB2","Burney"
"353","SAM-735","SAM-735_PZ1_MB2-90_16_12_MB2_Burney",8.76561463903131,0.475394572960188,3.57896633121911,1.113552872566,0.0836660026534076,0.525357021462548,1.25817327900413,2.24766545553381,1.30422390715705,100,"Acid","SAM","MB2","Burney"
"354","SAM-736","SAM-736_PZ1_MB2-90_16_14_MB2_Burney",8.74139576955534,0.5,3.6610107893859,1.1353413583588,0.189736659610103,0.53851648071345,1.35351394525509,2.189520495451,1.23652739557197,100,"Acid","SAM","MB2","Burney"
"355","SAM-737","SAM-737_PZ1_MB2-90_16_15_MB2_Burney",8.77730026830574,0.494974746830583,3.59499652294686,1.16318528188763,0,0.578791845139511,1.26491106406735,2.15569014471004,1.25578660607605,100,"Acid","SAM","MB2","Burney"
